,Scbu,Scpo,Myrs,Dara,Trac,Chal,Chma,Myat,Blsa,Cuve,Libr,Meaz,Stle,Chob,Guur,Bela,Aled,Euun,Casy,Ildu,Cimo,Mypa
Scbu,0,231.722229,263.666687,231.722229,263.666687,263.666687,263.666687,231.722229,231.722229,231.722229,231.722229,231.722229,263.666687,263.666687,263.666687,294,231.722229,231.722229,115.861122,263.666687,263.666687,231.722229
Scpo,231.722244,0,263.666687,167.833344,263.666687,263.666687,263.666687,199.777802,199.777802,135.888916,67.94445,135.888901,263.666687,263.666687,263.666687,294,135.888916,199.777802,231.722244,263.666687,263.666687,199.777802
Myrs,263.666687,263.666687,0,263.666687,233.333344,203,67.666664,263.666687,263.666687,263.666687,263.666687,263.666687,135.333328,203,203,294,263.666687,263.666687,263.666687,203,203,263.666687
Dara,231.722244,167.833344,263.666687,0,263.666687,263.666687,263.666687,199.777802,199.777802,167.833344,167.833344,167.833344,263.666687,263.666687,263.666687,294,167.833344,199.777802,231.722244,263.666687,263.666687,199.777802
Trac,263.666687,263.666687,233.333344,263.666687,0,233.333344,233.333344,263.666687,263.666687,263.666687,263.666687,263.666687,233.333344,233.333344,233.333344,294,263.666687,263.666687,263.666687,233.333344,233.333344,263.666687
Chal,263.666687,263.666656,203,263.666656,233.333344,0,203,263.666656,263.666656,263.666656,263.666656,263.666656,203,112,112,294,263.666656,263.666656,263.666687,172.666672,142.333328,263.666656
Chma,263.666687,263.666687,67.666664,263.666687,233.333344,203,0,263.666687,263.666687,263.666687,263.666687,263.666687,135.333328,203,203,294,263.666687,263.666687,263.666687,203,203,263.666687
Myat,231.722244,199.777802,263.666687,199.777802,263.666687,263.666687,263.666687,0,149.833344,199.777802,199.777802,199.777802,263.666687,263.666687,263.666687,294,199.777802,49.94445,231.722244,263.666687,263.666687,99.888901
Blsa,231.722244,199.777802,263.666687,199.777802,263.666687,263.666687,263.666687,149.833344,0,199.777802,199.777802,199.777802,263.666687,263.666687,263.666687,294,199.777802,149.833344,231.722244,263.666687,263.666687,149.833344
Cuve,231.722244,135.888901,263.666687,167.833344,263.666687,263.666687,263.666687,199.777802,199.777802,0,135.888901,103.94445,263.666687,263.666687,263.666687,294,72,199.777802,231.722244,263.666687,263.666687,199.777802
Libr,231.722244,67.94445,263.666687,167.833344,263.666687,263.666687,263.666687,199.777802,199.777802,135.888916,0,135.888901,263.666687,263.666687,263.666687,294,135.888916,199.777802,231.722244,263.666687,263.666687,199.777802
Meaz,231.722244,135.888901,263.666687,167.833344,263.666687,263.666687,263.666687,199.777802,199.777802,103.944458,135.888901,0,263.666687,263.666687,263.666687,294,103.944458,199.777802,231.722244,263.666687,263.666687,199.777802
Stle,263.666687,263.666687,135.333328,263.666687,233.333344,203,135.333328,263.666687,263.666687,263.666687,263.666687,263.666687,0,203,203,294,263.666687,263.666687,263.666687,203,203,263.666687
Chob,263.666687,263.666656,203,263.666656,233.333344,112,203,263.666656,263.666656,263.666656,263.666656,263.666656,203,0,112,294,263.666656,263.666656,263.666687,172.666672,142.333328,263.666656
Guur,263.666687,263.666656,203,263.666656,233.333344,112,203,263.666656,263.666656,263.666656,263.666656,263.666656,203,112,0,294,263.666656,263.666656,263.666687,172.666672,142.333328,263.666656
Bela,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,0,294,294,294,294,294,294
Aled,231.722244,135.888901,263.666687,167.833344,263.666687,263.666687,263.666687,199.777802,199.777802,72,135.888901,103.94445,263.666687,263.666687,263.666687,294,0,199.777802,231.722244,263.666687,263.666687,199.777802
Euun,231.722244,199.777802,263.666687,199.777802,263.666687,263.666687,263.666687,49.94445,149.833344,199.777802,199.777802,199.777802,263.666687,263.666687,263.666687,294,199.777802,0,231.722244,263.666687,263.666687,99.888901
Casy,115.861122,231.722229,263.666687,231.722229,263.666687,263.666687,263.666687,231.722229,231.722229,231.722229,231.722229,231.722229,263.666687,263.666687,263.666687,294,231.722229,231.722229,0,263.666687,263.666687,231.722229
Ildu,263.666687,263.666656,203,263.666656,233.333344,172.666672,203,263.666656,263.666656,263.666656,263.666656,263.666656,203,172.666672,172.666672,294,263.666656,263.666656,263.666687,0,172.666672,263.666656
Cimo,263.666687,263.666656,203,263.666656,233.333344,142.333328,203,263.666656,263.666656,263.666656,263.666656,263.666656,203,142.333328,142.333328,294,263.666656,263.666656,263.666687,172.666672,0,263.666656
Mypa,231.722244,199.777802,263.666687,199.777802,263.666687,263.666687,263.666687,99.888901,149.833344,199.777802,199.777802,199.777802,263.666687,263.666687,263.666687,294,199.777802,99.888901,231.722244,263.666687,263.666687,0
