,Scbu,Scpo,Myrs,Dara,Trac,Chal,Chma,Myat,Blsa,Cuve,Libr,Meaz,Stle,Chob,Guur,Bela,Aled,Euun,Casy,Ildu,Cimo,Mypa
Elae,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Turu,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Step,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Tuam,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Tang,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Thbo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Myia,1,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0
Thsa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Viol,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,0,1,0
Myio,1,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0
Misa,1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,1,0
Tual,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
